_address,_time,_date,_type,_body,_read,_service_center,_name
IM-NDLBOX,Jun 28  2016 6:41:59 PM,1467119519810,1,Noodle Box Summer specials''Enjoy flat 20% off on deliveries and takeaway.To order call 0120-6888101 9210662233,0,+919702000557,Manuf. Date
VM-040387,Jun 28  2016 6:29:54 PM,1467118794985,1,Ola! Shuttle like a boss. Your 1st ride is FREE  use code SHUTTLE. Enjoy FLAT 50% OFF on your next 3 rides  use code- 50OFF. Book your ride now bit.ly/1olacabs.,1,+919820405905,
VK-040383,Jun 28  2016 5:45:49 PM,1467116149699,1,Ride in an Ola Prime and enjoy exclusive discounts at partner restaurants and pubs and bars in Del-NCR. Details: http://goo.gl/31gG3I,1,+919830000184,
VM-014529,Jun 28  2016 5:08:55 PM,1467113935622,1,Save Now! Download Pluss & Get a FLAT 25% off on your first order of medicines. Free home delivery. Use code MEDS25. Order Today: http://pluss.io/meds25,1,+919820405912,
VK-KOTAKS,Jun 28  2016 4:11:53 PM,1467110513548,1,KALRT: Market Update (Closed): Sensex 26524.55(+121.59)  Nifty 8127.85(+33.15),1,+919830000185,Manuf. Date
097041 32632,Jun 28  2016 3:19:49 PM,1467107389900,2,Ok thanks.... ,1,,
+919704132632,Jun 28  2016 3:19:29 PM,1467107369750,1,Yeah informed them that you will reach in next 15 mins,1,+919014000512,
097041 32632,Jun 28  2016 3:15:35 PM,1467107135463,2,Mujhe 15mins late hoga...  I m in metro...  Can u please convey to them ,1,,
VK-KSTECH,Jun 28  2016 3:05:16 PM,1467106516616,1,KALRT :C/F BUY MNM TGT 1450 SL 1385http://bit.ly/SMSDisc,1,+919830000187,Manuf. Date
+919704132632,Jun 28  2016 2:54:29 PM,1467105869501,1,Sure...All the best.,1,+919014000512,
097041 32632,Jun 28  2016 2:53:51 PM,1467105831812,2,On my way... ,1,,
VD-611112,Jun 28  2016 2:24:16 PM,1467104056897,1,Ji haan..! Ghar lejaiye Split AC  Refrigerator aur dhero Discount Vouchers sirf Rs49 mein. Click karein http://m.mydelights.in/pr/346 (Browsing Charges Apply),1,+919811001057,
094093 06195,Jun 28  2016 1:58:46 PM,1467102526739,2,Hi   I will call you in evening.  Currently i m busy in a meeting.   Thanks   xxx xxx ,1,,
VM-LETMED,Jun 28  2016 1:34:19 PM,1467101059480,1,Thank You for Registering with LetMeDrive ! Your Mobile Verification Code - de7f for Mobile Number 9999301628. Please verify your Mobile Number.,1,+919820405905,Manuf. Date
VD-611112,Jun 28  2016 1:29:21 PM,1467100761779,1,Vodafone de raha Apple iPhone6S and Samsung S7 Discount ke sath. To Free mein check karein offer  Click http://m.mydelights.in/pr/10 (Browsing Charges Apply),1,+919811001057,
VM-KSTECH,Jun 28  2016 12:33:50 PM,1467097430694,1,KALRT: BUY INDIACEM @ 103.50 104.50 SL 99 TGT 115 120 . Time Horizon : 20 Days http://bit.ly/SMSDisc,1,+919820405936,Manuf. Date
+917897195940,Jun 28  2016 12:23:07 PM,1467096787195,1,Enjoy Full Body Massage Service only@899 in Luxury AC rooms with oil & cream by High Trained Good Looking Girl at Indrapuram Call= +917838605866 +918860724365,1,+919897051955,
VM-FRDKRM,Jun 28  2016 12:16:17 PM,1467096377662,1,Fall in Love with the appetizing flavors of our tasty delights. Take a pick @ www.firedkaramchari.com & Get Flat 20% Off on all online orders of & above Rs 300,1,+919820405905,Manuf. Date
VM-OLACAB,Jun 28  2016 11:54:03 AM,1467095043991,1,JOGENDRA  NAGAR (9871260062) is on the way to your location in a Grey WagonR UP16DT6776. You are paying Rs. 64 for this ride. Share OSN100695601 only on boarding cab.,1,+919820405560,Manuf. Date
+91 91606 54115,Jun 28  2016 11:13:52 AM,1467092632344,2,Ya sure... ,1,,
VM-KSTECH,Jun 28  2016 11:11:27 AM,1467092487477,1,KALRT: BUY TRF @ 334 340 SL 310 TGT 390 420 . Time Horizon : 20 Days  http://bit.ly/SMSDisc,1,+919820405905,Manuf. Date
